                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6704,                  3.864,                 3.2288,                  1.959,                0.45566,                0.14911,                0.20034,                  0.088,                0.33415,                0.10934,                0.12802,                0.03853,                 1.6497,                 4.8361,                 3.4713,                 2.4702,             0.00065248,             0.00065248,             0.00065248
                      2,                 1.6931,                 3.5962,                 2.8217,                  2.042,                0.20694,                0.23062,                0.10044,                0.03075,                0.09581,                0.13917,                0.04175,                0.00907,                  2.435,                 7.2286,                 4.4639,                 4.8736,              0.0011886,              0.0011886,              0.0011886
                      3,                 1.7964,                 3.6021,                 2.6362,                 2.1261,                0.28392,                0.28628,                0.15846,                0.05538,                0.21248,                0.18887,                0.09291,                0.02335,                 2.2846,                 8.4385,                  3.903,                 3.8754,              0.0015926,              0.0015926,              0.0015926
                      4,                  1.807,                 3.5859,                 2.3685,                 2.0842,                0.36761,                  0.334,                 0.2397,                  0.083,                0.34405,                0.23879,                0.17622,                0.05344,                 2.1276,                 5.2779,                 3.3276,                 2.8302,               0.001406,               0.001406,               0.001406
                      5,                 1.7791,                  3.538,                 2.2266,                 2.0504,                0.36357,                  0.334,                 0.2554,                0.09854,                 0.3777,                0.31131,                0.24682,                0.09021,                 2.0245,                 4.0244,                 2.5224,                 2.4446,               0.001208,               0.001208,               0.001208
                      6,                 1.7094,                 3.3905,                 2.0655,                 1.9501,                0.56477,                0.39728,                0.37661,                0.14832,                0.57732,                0.37744,                 0.3412,                 0.1394,                 1.9985,                 3.9782,                 2.1068,                 2.3894,                0.00101,                0.00101,                0.00101
                      7,                 1.5729,                  3.122,                 1.8538,                 1.8651,                0.56916,                0.42346,                0.44704,                0.20508,                 0.6011,                0.34791,                0.37663,                0.16893,                 1.8076,                 3.5018,                 1.8661,                  2.102,               0.000812,               0.000812,               0.000812
                      8,                 1.5502,                 3.0654,                 1.7541,                 1.8186,                0.58882,                0.44533,                0.45368,                0.22121,                0.59583,                0.39165,                 0.3961,                0.18495,                 1.7603,                 3.4237,                 1.8649,                 2.0659,               0.000614,               0.000614,               0.000614
                      9,                 1.4879,                 2.9183,                 1.6467,                 1.7537,                0.68404,                0.48111,                0.52169,                0.26464,                0.64855,                0.45527,                0.47505,                0.21774,                 1.6346,                 3.2619,                 1.6632,                 1.9692,               0.000416,               0.000416,               0.000416
                     10,                 1.3872,                 2.7938,                 1.5503,                 1.6574,                0.68808,                0.49503,                   0.54,                0.28354,                0.66321,                0.47714,                0.47923,                0.23513,                 1.6218,                 3.1422,                 1.6129,                 1.9289,               0.000218,               0.000218,               0.000218
